3233255,99127526
94296278,94296271
47274561,94580727
94341498,94626482
8621609,94301930
94672035,8280334
99277863,99277866
4298337,99262938
94377835,94377841
94285380,91866694
94297508,94594609
94271192,94296242
94131139,93068995
99138235,96294613
94133258,1454780
94688585,94688824
94104685,98648443
94116972,91929747
94574810,91934616
8770381,98655831
91961288,94284374
94588332,91939200
94066951,98637227
94270531,94550844
36957694,95188426
94721356,59287789
94237381,94590977
94594602,94594596
94218424,92167519
127472164,127472192
99261295,127369124
94286799,94286792
7696903,51780793
8716836,98651476
94079905,98649990
20813419,48139748
94282690,94282687
99137686,22097322
94241133,94360384
94653529,94653535
94302788,94302787
793584,94286801
94295941,46927085
64948873,94269731
793584,94255281
98636994,94243051
94597302,27314475
68849200,94991914
98651472,94302240
94082286,94360380
92140806,91882349
94341494,94341489
95040280,92055409
659872,94290690
98663647,94284378
98681017,98681300
94286057,94595432
99261115,94971414
91952717,91975027
48858967,34335946
127406891,127406902
94256636,94256093
95188426,124858294
94301671,99098561
94131602,98658516
94117139,1454780
98652913,94297708
127404630,127404633
93917249,94991623
95040736,94296251
94675687,94675680
94939494,91882349
94664954,94665156
94069922,94256613
94551529,94974054
94684512,94685032
108578361,127407906
94244779,68104393
94077564,98664197
94079248,98660044
1852829,94284172
94117131,91914173
94116376,94256630
93638443,94678738
99215108,95009059
62611306,94376506
92020055,94297527
98653620,92055409
39475076,92154909
94205434,94333591
99262894,94014291
97647624,94248920
94264892,94947102
94131606,98654352
94116972,94268582
91914148,94554283
94249435,94896521
48191989,94282907
9242090,98825593
94130892,98649325
94108382,91963135
94574802,91934616
94271192,94271186
94662657,94662651
16473484,91871827
49824775,94641060
94297044,94297039
8716836,94256550
94132299,98649743
94372372,94650084
94106429,98656798
1548880,95010512
94074570,1454780
94296758,94296755
33966030,91867056
1548880,98653018
1283636,94255281
94302734,94302730
91975027,92196762
94253277,94568975
94590638,99254978
94550150,91882349
102072650,94255778
94068428,94269296
98663815,93185520
92021033,94274783
99129489,99129494
94372389,91963144
99278383,99278587
98652753,94284374
99137711,94555457
94554289,99262903
94663604,94663609
94258780,94596868
94648506,94648699
15451904,30146945
94104949,98655806
94281315,94595432
94120873,98649361
98637238,94272813
94104921,98662304
108578325,102505943
91894374,94952777
94306036,91961924
